Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2002,26,2002,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2005,21,2005,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2008,18,2008,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2010,16,2010,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2011,14,2011,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2012,13,2012,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2013,11,2013,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2015,10,2015,,,,,"World Development Indicators database, World Bank",,"Retrieved on March 17, 2020 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)",G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2002,47,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2005,43,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2008,41,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2010,39,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2011,38,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2012,37,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2013,37,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2,Africa,2015,36,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2002,12,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2005,10,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2008,6,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2010,5,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2011,5,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2012,4,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2013,4,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2015,4,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),5,South America,2018,5,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2002,2,2002,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2005,1,2005,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2008,0,2008,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2012,1,2012,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2014,2,2014,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2015,1,2015,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2016,1,2016,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2017,2,2017,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2002,14,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2005,13,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2008,11,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2010,10,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2011,10,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2012,10,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2013,9,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),9,Oceania,2015,8,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2002,54,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2005,50,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2008,49,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2010,48,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2011,46,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2012,45,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),11,Western Africa,2013,43,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),12,Algeria,2011,1,2011,,,,,"World Development Indicators database, World Bank",,Estimated from grouped consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
